,,,,,,
Batch ID,Sample ID,Latitude,Longitude,Ca,Mg,Ti
KAP2S2TUPSE15,C1 B2,,,585.292,964.611,3099.428
KAP2S2TUPSE15,C2 B2,,,334.169,860.617,4028.096
KAP2S2TUPSE15,C3 B2,,,929.103,591.553,2561.592
KAP2S2TUPSE15,C4 B2,,,620.13,1521.622,3414.482
KAP2S2TPSE3,C0 B2,,,1245.793,4827.097,4477.274
KAP2S2TPSE3,C4 B2,,,2357.602,4642.117,2678.553
KAP2S2TPSE3,C6 B2,,,1457.692,4469.872,3030.772
,,,,1075.683081,2553.926905,3327.170921
